"age","hgrd","hgrdmissdum","educ_geddiploma","educ_hsdiploma","marstat_divorced","marstat_separated","marstat_livetogunm","marstat_married","haschldY0","mwearn","peopleathome","peopleathomemissdum","nonres","g2","g5","g7","h1_fair_poor","h2","h10","h10missdum","h25","h25missdum","h29","h5","h5missdum","h7","h7missdum","i1","i10"
21,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
25,12,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
19,9,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
19,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
18,10,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,5,0,0,0
22,12,0,0,4,0,0,0,0,0,190,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
22,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
22,12,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
18,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
21,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
19,10,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
20,11,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
23,12,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
19,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
18,9,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,1,0,4,0,0,0
18,11,0,3,0,0,0,0,0,0,300,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
19,11,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
21,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
22,8,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0
21,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
21,11,0,0,0,0,0,0,0,1,100,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
20,9,0,3,0,0,0,0,0,0,66.6666666666667,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,1,0
17,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
22,9,0,3,0,0,0,0,0,0,109,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0
17,9,0,0,0,0,0,0,0,0,300,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0
23,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
20,12,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,3,0,0,0
18,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,1,0,3,0,0,0
17,11,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
20,13,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
21,16,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
21,11,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
17,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,4,0,0,0
18,8,0,3,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
17,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,1,1
17,8,0,3,0,0,0,0,0,0,260,0,1,0,0,0,0,0,0,5,0,0,1,0,1,0,5,0,1,0
18,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,0,3,0,1,0
19,12,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
20,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
20,9,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,0,0
17,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,1,0,4,0,1,1
17,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,1,1
18,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,1,0
20,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
